"id";"name";"parentid";"mdsval";"lastapperance"
"1013";\N;"1010";"42513_42510";"2012-11-05 15:00:10"
"1014";\N;"1010";"42513_42509";"2012-11-05 15:00:10"
"1015";"NORTH DAKOTA";"16";"3629_40150";"2012-11-05 15:00:10"
"1016";\N;"16";"3629_42507";"2012-11-05 15:00:10"
"1017";\N;"1010";"42513_42503";"2012-11-05 15:00:10"
"1018";\N;"1010";"42513_42518";"2012-11-05 15:00:10"
"1019";"TULUM";"939";"42163_7354";"2012-11-03 07:00:02"
"1020";\N;"0";"42509:";"2012-11-05 15:00:11"
"1021";\N;"1020";"42509_42500";"2012-11-05 15:00:11"
"1022";\N;"939";"42163_42544";"2012-11-01 06:00:02"
"1023";\N;"0";"42515:";"2012-11-03 07:00:02"
"1024";\N;"1023";"42515_42543";"2012-11-03 07:00:02"
"1025";\N;"939";"42163_42546";"2012-11-01 06:00:02"
"1026";"GUATEMALA";"0";"39546:";"2012-11-01 06:00:02"
"1027";\N;"1026";"39546_42545";"2012-11-01 06:00:02"
"1028";\N;"0";"42512:";"2012-11-05 15:00:11"
"1029";\N;"1028";"42512_42026";"2012-11-05 15:00:11"
"1030";"PANAMA";"714";"2500_2505";"2012-11-01 06:00:03"
"1031";\N;"0";"42510:";"2012-11-05 15:00:11"
"1032";\N;"1031";"42510_42501";"2012-11-05 15:00:11"
"1033";\N;"0";"42511:";"2012-11-05 15:00:11"
"1034";\N;"1033";"42511_42502";"2012-11-05 15:00:11"
"1035";"PENNSYLVANIA";"16";"3629_39207";"2012-11-05 15:00:11"
"1036";"SOUTH CAROLINA";"16";"3629_39629";"2012-11-05 15:00:11"
"1037";\N;"0";"42514:";"2012-11-05 15:00:11"
"1038";\N;"1037";"42514_42515";"2012-11-05 15:00:11"
"1039";"IDAHO";"16";"3629_40112";"2012-11-05 15:00:11"
"1040";"NORTH CAROLINA";"16";"3629_39649";"2012-11-05 15:00:11"
"1041";\N;"16";"3629_42421";"2012-11-05 15:00:11"
"1042";"OKLAHOMA";"16";"3629_39945";"2012-11-05 15:00:11"
"1043";"VIRGINIA";"16";"3629_39970";"2012-11-05 15:00:11"
"1044";"WASHINGTON";"16";"3629_8302";"2012-11-05 15:00:11"
"1045";\N;"0";"42506:";"2012-11-05 15:00:11"
"1046";"OAHU";"1045";"42506_40114";"2012-11-05 15:00:11"
"1047";"NEW YORK";"16";"3629_9824";"2012-11-05 15:00:11"
"1048";"ALABAMA";"16";"3629_39946";"2012-11-05 15:00:11"
"1049";"SOUTH DAKOTA";"16";"3629_40133";"2012-11-05 15:00:11"
"1050";"OHIO";"16";"3629_39943";"2012-11-05 15:00:11"
"1051";\N;"1037";"42514_42506";"2012-11-01 06:00:03"
"1052";"PITZ";"58";"1_41121";"2012-11-03 06:00:02"
"1053";\N;"0";"41120:";"2012-11-03 22:00:03"
"1054";\N;"255";"264_41156";"2012-11-05 15:00:10"
"1055";"ST. PETERSBURG";"188";"67_8430";"2012-11-04 03:00:04"
"1056";\N;"255";"264_41163";"2012-11-02 05:00:02"
"1057";\N;"255";"264_41165";"2012-11-05 05:00:02"
"1058";\N;"255";"264_41158";"2012-11-03 06:00:03"
"1059";"BOTSWANA - ZAMBIA - MOZAMBIK";"0";"41130:";"2012-11-03 06:00:03"
"1060";"ARAD";"255";"264_40109";"2012-11-03 06:00:03"
"1061";"SUCEAVA";"255";"264_10620";"2012-11-03 06:00:03"
"1062";\N;"255";"264_41159";"2012-11-02 05:00:02"
"1063";"SLANIC-MOLDOVA";"140";"32_6639";"2012-11-05 15:00:10"
"1064";"CHINY (+ REJS PO RZECE JANGCY)";"0";"41131:";"2012-11-04 05:00:02"
"1065";\N;"255";"264_41162";"2012-11-04 05:00:02"
"1066";\N;"427";"263_41148";"2012-11-04 05:00:02"
"1067";\N;"375";"18_41142";"2012-11-02 05:00:02"
"1068";\N;"963";"39819_41143";"2012-11-02 05:00:02"
"1069";\N;"255";"264_41167";"2012-11-05 15:00:10"
"1070";\N;"255";"264_41166";"2012-11-04 05:00:02"
"1071";"FAR EAST";"255";"264_10673";"2012-11-05 15:00:10"
"1072";\N;"58";"1_41140";"2012-11-03 06:00:03"
"1073";\N;"377";"2187_41147";"2012-11-04 05:00:02"
"1074";"WYSPA MURTER";"7";"5_1539";"2012-11-05 15:00:11"
"1075";\N;"0";"42572:";"2012-11-05 15:00:11"
"1076";\N;"255";"264_41151";"2012-11-04 05:00:02"
"1077";\N;"255";"264_41171";"2012-11-05 15:00:10"
"1078";\N;"255";"264_41160";"2012-11-03 06:00:03"
"1079";"BRAN";"255";"264_6636";"2012-11-05 15:00:10"
"1080";\N;"255";"264_41161";"2012-11-03 06:00:03"
"1081";"DOMINIKANA - KUBA";"0";"41132:";"2012-11-04 05:00:02"
